Title,Link,Price,Engine_Capacity,Transmission,Steering,Type,Color,Manufactured_Year,Imported_Year,Fuel_Type,Interior_Color,Leasing,Drive_Type,Mileage,Condition
"Lexus LX 600, 2022/2023",https://www.unegui.mn/adv/9685517_lexus-lx-600-2022-2023/,390 сая₮420 сая₮,3.5 л,Автомат,Зөв,Жийп,Хар,2022,2023,Бензин,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,57000 км,Дугаар авсан
"Toyota Prius 41, 2015/2025",https://www.unegui.mn/adv/9819141_toyota-prius-41-2015-2025/,37 сая₮,1.8 л,Автомат,Буруу,Суудлын тэрэг,Цагаан,2015,2025,Хайбрид,ББСБ лизингтэй,ББСБ лизингтэй,Урдаа FWD,137000 км,Дугаар аваагүй
"Lexus RX 300, 2018/2025",https://www.unegui.mn/adv/9532667_lexus-rx-2018-2025/,97.5 сая₮,2.0 л,Автомат,Буруу,Жийп,Сувдан цагаан,2018,2025,Бензин,ББСБ лизингтэй,ББСБ лизингтэй,Бүх дугуй 4WD,154893 км,Дугаар аваагүй
"Toyota Crown, 2023/2025",https://www.unegui.mn/adv/9853533_toyota-crown-2023-2025/,115 сая₮,2.4 л,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2023,2025,Хайбрид,ББСБ лизингтэй,ББСБ лизингтэй,Бүх дугуй 4WD,77000 км,Дугаар авсан
"Lexus HS, 2013/2024",https://www.unegui.mn/adv/9869739_lexus-hs-2013-2024/,33.5 сая₮,2.5 л,Автомат,Буруу,Суудлын тэрэг,Саарал,2013,2024,Хайбрид,Лизинггүй,Лизинггүй,Урдаа FWD,89000 км,Дугаар авсан
"Lexus IS, 2018/2025",https://www.unegui.mn/adv/9874257_lexus-is-2018-2025/,52.5 сая₮,2.5 л,Автомат,Буруу,Суудлын тэрэг,Боронзон,2018,2025,Хайбрид,ББСБ лизингтэй,ББСБ лизингтэй,Хойноо RWD,117000 км,Дугаар аваагүй
"BMW XM, 2023/2024",https://www.unegui.mn/adv/9874244_bmw-busad-2023-2024/,600 сая₮,4.4 л,Автомат,Зөв,Жийп,Хар,2023,2024,Бензин,Банкны лизингтэй,Банкны лизингтэй,Бүх дугуй 4WD,18000 км,Дугаар авсан
"Mitsubishi Outlander, 2016/2025",https://www.unegui.mn/adv/9817424_mitsubishi-outlander-2016-2025/,42.8 сая₮,2.0 л,Автомат,Буруу,Жийп,Сувдан цагаан,2016,2025,Хайбрид,ББСБ лизингтэй,ББСБ лизингтэй,Бүх дугуй 4WD,172000 км,Дугаар аваагүй
"Nissan GT-R, 2011/2024",https://www.unegui.mn/adv/9421877_nissan-gt-r-2011-2024/,250 сая₮,3.9 л,Автомат,Буруу,Суудлын тэрэг,Хар,2011,2024,Бензин,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,60000 км,Дугаар авсан
"Toyota Highlander, 2013/2023",https://www.unegui.mn/adv/9553705_toyota-highlander-2013-2023/,65 сая₮,3.5 л,Автомат,Зөв,Жийп,Цагаан,2013,2023,Хайбрид,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,100000 км,Дугаар авсан
